DATASET	SEGMENT	TOKENS
germancognates	ai	87
germancognates	uː	80
germancognates	w	78
germancognates	j	77
germancognates	θ	77
germancognates	i	76
germancognates	ɑ	74
germancognates	ŋ	66
germancognates	au	49
germancognates	əʊ	35
germancognates	aɪ	34
germancognates	ɛɪ	34
germancognates	ʊ	32
germancognates	ts	26
germancognates	ɔː	26
germancognates	ʌ	26
germancognates	æ	25
germancognates	eɪ	24
germancognates	ɑː	23
germancognates	ɣ	21
germancognates	eu	17
germancognates	œy	16
germancognates	ɑu	13
germancognates	lː	11
germancognates	ɜː	11
germancognates	aʊ	10
germancognates	gʷ	9
germancognates	kː	9
germancognates	nː	9
germancognates	ʉ	9
germancognates	o	8
germancognates	ɔy	8
germancognates	ɪə	7
germancognates	pf	6
germancognates	tʃ	6
germancognates	xʷ	6
germancognates	ð	6
germancognates	pː	4
germancognates	yː	4
germancognates	øː	4
germancognates	ɛə	4
germancognates	kʷ	3
germancognates	dʒ	2
germancognates	mː	1
gled	ɐ	155305
gled	i	107071
gled	u	76677
gled	o	68919
gled	n	67405
gled	e	51602
gled	k	51539
gled	m	48801
gled	t	48266
gled	l	36471
gled	r	36014
gled	s	28133
gled	b	27718
gled	ə	25898
gled	w	24918
gled	h	23670
gled	j	23562
gled	d	22901
gled	ŋ	22002
gled	p	21671
gled	g	18969
gled	a	16727
gled	ʔ	12657
gled	ʃ	8277
gled	tʃ	7877
gled	ts	6795
gled	x	6599
gled	f	6279
gled	ɲ	5645
gled	v	5347
gled	z	4856
gled	dʒ	4475
gled	q	4060
gled	ʎ	3019
gled	c	2878
gled	χ	2390
gled	θ	1421
gled	ʒ	1313
gled	ǃ	715
gled	n̪	177
gled	ɢ	165
gravinachadic	a	13807
gravinachadic	e	5925
gravinachadic	m	5844
gravinachadic	ə	4554
gravinachadic	i	4330
gravinachadic	u	4186
gravinachadic	k	3981
gravinachadic	n	3875
gravinachadic	l	3757
gravinachadic	r	3727
gravinachadic	j	3181
gravinachadic	g	3037
gravinachadic	d	2941
gravinachadic	o	2580
gravinachadic	s	2424
gravinachadic	b	2387
gravinachadic	t	2220
gravinachadic	ɑ	2200
gravinachadic	w	1854
gravinachadic	ɨ	1845
gravinachadic	h	1551
gravinachadic	ɗ	1514
gravinachadic	z	1255
gravinachadic	ŋ	1171
gravinachadic	v	990
gravinachadic	f	957
gravinachadic	p	892
gravinachadic	ɬ	727
gravinachadic	c	653
gravinachadic	ɓ	637
gravinachadic	ɮ	627
gravinachadic	kʷ	542
gravinachadic	ʔ	483
gravinachadic	gʷ	392
gravinachadic	ʃ	350
gravinachadic	gʱ	346
gravinachadic	ts	272
gravinachadic	aː	183
gravinachadic	x	157
gravinachadic	ʒ	110
gravinachadic	hʷ	100
gravinachadic	kʰ	94
gravinachadic	gː	72
gravinachadic	tʃ	65
gravinachadic	ʉ	64
gravinachadic	gʷʱ	48
gravinachadic	eː	44
gravinachadic	dʒ	40
gravinachadic	iː	39
gravinachadic	ɛ	39
gravinachadic	q	37
gravinachadic	œ	33
gravinachadic	oː	28
gravinachadic	lʷ	26
gravinachadic	rː	21
gravinachadic	ŋʷ	21
gravinachadic	bʷ	20
gravinachadic	lː	19
gravinachadic	uː	19
gravinachadic	nː	18
gravinachadic	ɹ̝	17
gravinachadic	ɾ	17
gravinachadic	kː	15
gravinachadic	sʷ	14
gravinachadic	fʷ	13
gravinachadic	tʰ	13
gravinachadic	tʼ	13
gravinachadic	xʷ	12
gravinachadic	mʷ	11
gravinachadic	ʊ	11
gravinachadic	mː	10
gravinachadic	sː	10
gravinachadic	vʷ	10
gravinachadic	dː	8
gravinachadic	tsʰ	8
gravinachadic	tː	8
gravinachadic	pʷ	7
gravinachadic	pʼ	7
gravinachadic	dʷ	6
gravinachadic	rʱ	6
gravinachadic	ŋʼ	6
gravinachadic	bː	5
gravinachadic	cː	5
gravinachadic	lʱ	5
gravinachadic	ŋʱ	5
gravinachadic	əː	5
gravinachadic	ɣ	5
gravinachadic	pː	4
gravinachadic	wː	4
gravinachadic	zʷ	4
gravinachadic	zː	4
gravinachadic	ɢ	4
gravinachadic	fː	3
gravinachadic	kʼ	3
gravinachadic	tsʷ	3
gravinachadic	xː	3
gravinachadic	ɓʷ	3
gravinachadic	ɪ	3
gravinachadic	cʷ	2
gravinachadic	dʒʱ	2
gravinachadic	jʷ	2
gravinachadic	jː	2
gravinachadic	mʼ	2
gravinachadic	rʼ	2
gravinachadic	tʷ	2
gravinachadic	ɔ	2
gravinachadic	ɗː	2
gravinachadic	ʃʷ	2
gravinachadic	ʔʲ	2
gravinachadic	bʱ	1
gravinachadic	dʒʷ	1
gravinachadic	fʼ	1
gravinachadic	hː	1
gravinachadic	lʲ	1
gravinachadic	lʼ	1
gravinachadic	nʷ	1
gravinachadic	tʃʷ	1
gravinachadic	tʃː	1
gravinachadic	tʷʰ	1
gravinachadic	ŋː	1
gravinachadic	œ̄	1
gravinachadic	ɓː	1
gravinachadic	ʷf	1
gravinachadic	ⁿd	1
gravinachadic	ⁿdʒ	1
grollemundbantu	a	18266
grollemundbantu	i	15114
grollemundbantu	u	13404
grollemundbantu	m	10828
grollemundbantu	o	9325
grollemundbantu	k	8737
grollemundbantu	l	8723
grollemundbantu	n	7807
grollemundbantu	e	6345
grollemundbantu	t	5023
grollemundbantu	j	4469
grollemundbantu	w	4081
grollemundbantu	s	3584
grollemundbantu	b	3212
grollemundbantu	r	2908
grollemundbantu	g	2626
grollemundbantu	á/a	2526
grollemundbantu	ⁿb	2514
grollemundbantu	ɔ	1931
grollemundbantu	í/i	1913
grollemundbantu	d	1854
grollemundbantu	ⁿd	1851
grollemundbantu	ɲ	1839
grollemundbantu	ŋ	1761
grollemundbantu	à/a	1747
grollemundbantu	p	1707
grollemundbantu	ú/u	1678
grollemundbantu	z	1598
grollemundbantu	h	1433
grollemundbantu	ⁿg	1412
grollemundbantu	ɛ	1408
grollemundbantu	ó/o	1303
grollemundbantu	ì/i	1213
grollemundbantu	v	1188
grollemundbantu	f	1172
grollemundbantu	é/e	1036
grollemundbantu	ù/u	1012
grollemundbantu	ò/o	903
grollemundbantu	ɣ	876
grollemundbantu	ɔ́/ɔ	789
grollemundbantu	ʃ	724
grollemundbantu	aː	693
grollemundbantu	tʃ	686
grollemundbantu	kʷ	654
grollemundbantu	ə	621
grollemundbantu	ɛ́/ɛ	593
grollemundbantu	è/e	584
grollemundbantu	ɔ̀/ɔ	547
grollemundbantu	iː	486
grollemundbantu	ts	475
grollemundbantu	c	421
grollemundbantu	ɛ̀/ɛ	419
grollemundbantu	β	403
grollemundbantu	ʊ	382
grollemundbantu	uː	356
grollemundbantu	ɓ	314
grollemundbantu	dz	296
grollemundbantu	ɪ	282
grollemundbantu	oː	268
grollemundbantu	eː	266
grollemundbantu	ʔ	261
grollemundbantu	dʒ	253
grollemundbantu	bʷ	210
grollemundbantu	ʒ	201
grollemundbantu	ɗ	200
grollemundbantu	kʰ	197
grollemundbantu	ə̀/ə	197
grollemundbantu	ⁿk	197
grollemundbantu	ⁿdz	195
grollemundbantu	tʰ	183
grollemundbantu	ɯ	171
grollemundbantu	â/a	170
grollemundbantu	ə́/ə	149
grollemundbantu	û	142
grollemundbantu	ǹ/n	141
grollemundbantu	n̩	138
grollemundbantu	ð	127
grollemundbantu	ʊ́/ʊ	110
grollemundbantu	áá/aː	106
grollemundbantu	ɩ́/ɪ	104
grollemundbantu	ô/o	98
grollemundbantu	ǐ/i	97
grollemundbantu	ǎ/a	93
grollemundbantu	ɨ́/ɨ	90
grollemundbantu	î/i	87
grollemundbantu	ê/e	86
grollemundbantu	ī/i	72
grollemundbantu	ā/a	70
grollemundbantu	pʰ	68
grollemundbantu	m̀/m	66
grollemundbantu	x	65
grollemundbantu	ì̧/i	65
grollemundbantu	ɔ̂/ɔ	65
grollemundbantu	ɛː	64
grollemundbantu	ɸ	62
grollemundbantu	m̩	61
grollemundbantu	íí/iː	59
grollemundbantu	ǒ/o	59
grollemundbantu	ʊ̀/ʊ	58
grollemundbantu	ŋ̀/ŋ	55
grollemundbantu	ə̄/ə	53
grollemundbantu	úú/uː	52
grollemundbantu	ɔ̄/ɔ	52
grollemundbantu	ɨ̀/ɨ	52
grollemundbantu	lʲ	51
grollemundbantu	ɩ̀/ɪ	51
grollemundbantu	ʁ	51
grollemundbantu	ʂ	48
grollemundbantu	óː/oː	47
grollemundbantu	ù̧/u	47
grollemundbantu	ⁿgʷ	45
grollemundbantu	ɟ	44
grollemundbantu	tʷ	43
grollemundbantu	ɔ̌/ɔ	43
grollemundbantu	óó/oː	41
grollemundbantu	l̪	40
grollemundbantu	á:/aː	40
grollemundbantu	áː/aː	40
grollemundbantu	éé/eː	40
grollemundbantu	ã	38
grollemundbantu	í̧/i	38
grollemundbantu	ě/e	38
grollemundbantu	ú̧/u	37
grollemundbantu	ū/u	36
grollemundbantu	ɛ̌/ɛ	36
grollemundbantu	sʷ	35
grollemundbantu	ɛ̄/ɛ	35
grollemundbantu	ɥ	31
grollemundbantu	ɷ̀/ʊ	31
grollemundbantu	ʉ́/ʉ	31
grollemundbantu	ē/e	30
grollemundbantu	ō/o	30
grollemundbantu	ɨ	30
grollemundbantu	ɛ̂/ɛ	29
grollemundbantu	ḿ/m	29
grollemundbantu	ń/n	28
grollemundbantu	ǔ/u	27
grollemundbantu	éː/eː	26
grollemundbantu	t̪	25
grollemundbantu	íː/iː	25
grollemundbantu	vʷ	24
grollemundbantu	ú:/uː	24
grollemundbantu	ʈ	24
grollemundbantu	i̧/i	23
grollemundbantu	ɾ	22
grollemundbantu	ↄ́/ɔ	22
grollemundbantu	ɔ̃	21
grollemundbantu	d˺/d	19
grollemundbantu	ó̱/o	19
grollemundbantu	ɱ	19
grollemundbantu	o̱/o	18
grollemundbantu	ùː/uː	18
grollemundbantu	ə̂/ə	18
grollemundbantu	í:/iː	17
grollemundbantu	ɽ	17
grollemundbantu	ⁿd̪	17
grollemundbantu	ɛ́ː/ɛː	16
grollemundbantu	ẅ/w	16
grollemundbantu	n̪	15
grollemundbantu	òː/oː	15
grollemundbantu	ǘ/y	15
grollemundbantu	έ/ɛ	15
grollemundbantu	i̱/i	14
grollemundbantu	y	14
grollemundbantu	à:/aː	14
grollemundbantu	àː/aː	14
grollemundbantu	ŋ̍	14
grollemundbantu	ũ	14
grollemundbantu	ʉ	14
grollemundbantu	ⁿkʷ	14
grollemundbantu	é:/eː	13
grollemundbantu	ó:/oː	13
grollemundbantu	ĩ	13
grollemundbantu	ǜ/y	13
grollemundbantu	ɔ̀ˀ/ɔˀ	13
grollemundbantu	ʉ̀/ʉ	13
grollemundbantu	ʕ	13
grollemundbantu	a̍/a	12
grollemundbantu	ⁿpʰ	12
grollemundbantu	e̍/e	11
grollemundbantu	w̃	11
grollemundbantu	ì:/iː	11
grollemundbantu	ɔ́:/ɔː	11
grollemundbantu	ə̌/ə	11
grollemundbantu	ɺ	11
grollemundbantu	ⁿdʳ	11
grollemundbantu	ⁿgb	11
grollemundbantu	ⁿpf	11
grollemundbantu	b˺/b	10
grollemundbantu	gʷ	10
grollemundbantu	g˺/g	10
grollemundbantu	n̂/n	10
grollemundbantu	r̥	10
grollemundbantu	tɬʰ	10
grollemundbantu	ù:/uː	10
grollemundbantu	ɔː	10
grollemundbantu	ɔ̀ː/ɔː	10
grollemundbantu	ʉ̂/ʉ	10
grollemundbantu	ʐ	10
grollemundbantu	ṅ/n	10
grollemundbantu	ⁿpʷ	10
grollemundbantu	a̱/a	9
grollemundbantu	e̱/e	9
grollemundbantu	o̍/o	9
grollemundbantu	tɬ	9
grollemundbantu	u̱/u	9
grollemundbantu	íˀ/iˀ	9
grollemundbantu	ɮ	9
grollemundbantu	ɷ́/ʊ	9
grollemundbantu	ʌ́/ʌ	9
grollemundbantu	θ	9
grollemundbantu	dʲ	8
grollemundbantu	i̍/i	8
grollemundbantu	t̪ʰ	8
grollemundbantu	u̧/u	8
grollemundbantu	èː/eː	8
grollemundbantu	úː/uː	8
grollemundbantu	ǝ́/ə	8
grollemundbantu	ɛ̀ˀ/ɛˀ	8
grollemundbantu	ɛ́:/ɛː	8
grollemundbantu	ɩ̌/i	8
grollemundbantu	χ	8
grollemundbantu	ḁ/a	8
grollemundbantu	nn/n̩	7
grollemundbantu	q	7
grollemundbantu	rʲ	7
grollemundbantu	è:/eː	7
grollemundbantu	ìː/iː	7
grollemundbantu	õ	7
grollemundbantu	úˀ/uˀ	7
grollemundbantu	ɔ̀:/ɔː	7
grollemundbantu	ɛɛ́/ɛː	7
grollemundbantu	ʉ̄/ʉ	7
grollemundbantu	ʝ	7
grollemundbantu	ⁿcʷ	7
grollemundbantu	d̪	6
grollemundbantu	fʷ	6
grollemundbantu	nʰ	6
grollemundbantu	nˊ/n	6
grollemundbantu	r̃	6
grollemundbantu	tʼ	6
grollemundbantu	u̍/u	6
grollemundbantu	ì:́/iː	6
grollemundbantu	ŋ́/ŋ	6
grollemundbantu	ŋ̄/ŋ	6
grollemundbantu	ɑ̀/ɑ	6
grollemundbantu	ɘ̀/ɘ	6
grollemundbantu	ə̥/ə	6
grollemundbantu	ɨ̂/ɨ	6
grollemundbantu	ʊ̌/ʊ	6
grollemundbantu	ʌ̀/ʌ	6
grollemundbantu	ⁿbʱ	6
grollemundbantu	e̤/e	5
grollemundbantu	hˡ	5
grollemundbantu	lʷ	5
grollemundbantu	m̄/m	5
grollemundbantu	sʲ	5
grollemundbantu	u̥/u	5
grollemundbantu	á:̀/aː	5
grollemundbantu	ò̱/o	5
grollemundbantu	ó:̀/oː	5
grollemundbantu	óˀ/oˀ	5
grollemundbantu	ŋʰ	5
grollemundbantu	ŋʷ	5
grollemundbantu	ǒ̱/o	5
grollemundbantu	ɔ́ː/ɔː	5
grollemundbantu	ə̱/ə	5
grollemundbantu	ɠ	5
grollemundbantu	ɲ̀/ɲ	5
grollemundbantu	ʈʰ	5
grollemundbantu	ʉ̌/ʉ	5
grollemundbantu	ⁿtʃʷ	5
grollemundbantu	ⁿzʷ	5
grollemundbantu	dʰ	4
grollemundbantu	mʰ	4
grollemundbantu	n̍/n	4
grollemundbantu	tʃʰ	4
grollemundbantu	à:́/aː	4
grollemundbantu	àˀ/aˀ	4
grollemundbantu	áˀ/aˀ	4
grollemundbantu	èˀ/eˀ	4
grollemundbantu	é:̀/eː	4
grollemundbantu	é:́/eː	4
grollemundbantu	ìˀ/iˀ	4
grollemundbantu	í:̀/iː	4
grollemundbantu	ò:/oː	4
grollemundbantu	ò:́/oː	4
grollemundbantu	ùˀ/uˀ	4
grollemundbantu	ý/j	4
grollemundbantu	ă/a	4
grollemundbantu	ĭ/i	4
grollemundbantu	œ	4
grollemundbantu	ǐˀ/iˀ	4
grollemundbantu	ǿ/ø	4
grollemundbantu	ɑ̀ˀ/ɑˀ	4
grollemundbantu	ɔ̑/ɔ	4
grollemundbantu	ɛ̍/ɛ	4
grollemundbantu	ɤ́/ɤ	4
grollemundbantu	ɪ́/ɪ	4
grollemundbantu	ḷ/l	4
grollemundbantu	ẁ/w	4
grollemundbantu	aˀ	3
grollemundbantu	i̋/i	3
grollemundbantu	i̪/i	3
grollemundbantu	kʼ	3
grollemundbantu	lˀ	3
grollemundbantu	n̥	3
grollemundbantu	tˊ/t	3
grollemundbantu	u̪/u	3
grollemundbantu	â:/aː	3
grollemundbantu	æ̀/æ	3
grollemundbantu	æ̌/æ	3
grollemundbantu	é̤/e	3
grollemundbantu	òˀ/oˀ	3
grollemundbantu	õ̀/õ	3
grollemundbantu	ø	3
grollemundbantu	ú:̀/uː	3
grollemundbantu	ĕ/e	3
grollemundbantu	ě:/eː	3
grollemundbantu	ŭ/u	3
grollemundbantu	ȁ/a	3
grollemundbantu	ɔ́ˀ/ɔˀ	3
grollemundbantu	ɔ̂:/ɔː	3
grollemundbantu	ɔ̆/ɔ	3
grollemundbantu	ɔ̱/ɔ	3
grollemundbantu	ɖʐ	3
grollemundbantu	ɘ́/ɘ	3
grollemundbantu	ɛ̀ː/ɛː	3
grollemundbantu	ɛ̃	3
grollemundbantu	ʈʂ	3
grollemundbantu	ʊ̂/ʊ	3
grollemundbantu	ḭ́/ĩ	3
grollemundbantu	ḿm/m̩	3
grollemundbantu	ṍ/õ	3
grollemundbantu	ẃ/w	3
grollemundbantu	ⁿkp	3
grollemundbantu	ⁿk’	3
grollemundbantu	!	2
grollemundbantu	a̭/a	2
grollemundbantu	a̰:/ãː	2
grollemundbantu	bʲ	2
grollemundbantu	dʷ	2
grollemundbantu	e̍:/eː	2
grollemundbantu	g̊	2
grollemundbantu	i᷇/i	2
grollemundbantu	kʲ	2
grollemundbantu	lʰ	2
grollemundbantu	lˠ	2
grollemundbantu	lᶣ	2
grollemundbantu	mm/m̩	2
grollemundbantu	nʱ	2
grollemundbantu	n̩̩/n̩	2
grollemundbantu	o̭/o	2
grollemundbantu	r̋/r	2
grollemundbantu	tsʰ	2
grollemundbantu	tʳ	2
grollemundbantu	´n/n	2
grollemundbantu	à̀/a	2
grollemundbantu	éˀ/eˀ	2
grollemundbantu	é̄/e	2
grollemundbantu	é̱/e	2
grollemundbantu	ì:̀/iː	2
grollemundbantu	ì̀/i	2
grollemundbantu	í̀/i	2
grollemundbantu	í́/i	2
grollemundbantu	î:/iː	2
grollemundbantu	ò̰/õ	2
grollemundbantu	ô:/oː	2
grollemundbantu	ù:́/uː	2
grollemundbantu	ú̱/u	2
grollemundbantu	īˀ/iˀ	2
grollemundbantu	ı̀/ɪ	2
grollemundbantu	ı́/ɪ	2
grollemundbantu	ń/n̩	2
grollemundbantu	ŋŋ/ŋ̍	2
grollemundbantu	ŏ/o	2
grollemundbantu	ŗ/r	2
grollemundbantu	ŵ/w	2
grollemundbantu	ǀ	2
grollemundbantu	ǽ/æ	2
grollemundbantu	ǽˀ/æˀ	2
grollemundbantu	ȳ/y	2
grollemundbantu	ɐ	2
grollemundbantu	ɑ̄/ɑ	2
grollemundbantu	ɔ̄ˀ/ɔˀ	2
grollemundbantu	ɔ̋/ɔ	2
grollemundbantu	ɔ̍/ɔ	2
grollemundbantu	ɔ̏/ɔ	2
grollemundbantu	ɔ᷆/ɔ	2
grollemundbantu	ɖ	2
grollemundbantu	ɘ̂/ɘ	2
grollemundbantu	ə̃	2
grollemundbantu	ə̑/ə	2
grollemundbantu	ɛ̀:/ɛː	2
grollemundbantu	ɛ̀ʼ/ɛˀ	2
grollemundbantu	ɛ́ˀ/ɛˀ	2
grollemundbantu	ɛ́̄/ɛ	2
grollemundbantu	ɛ̂:/ɛː	2
grollemundbantu	ɛ̋/ɛ	2
grollemundbantu	ɛ̑/ɛ	2
grollemundbantu	ɦ	2
grollemundbantu	ɨ̄/ɨ	2
grollemundbantu	ɨ̌/ɨ	2
grollemundbantu	ɪː	2
grollemundbantu	ɬ	2
grollemundbantu	ɯ̀/ɯ	2
grollemundbantu	ɯ́/ɯ	2
grollemundbantu	ɲ̩	2
grollemundbantu	ɹ	2
grollemundbantu	ʃʷ	2
grollemundbantu	ʊ̃	2
grollemundbantu	ʊ̃/ʊ̃	2
grollemundbantu	ʊ̄/ʊ	2
grollemundbantu	ʌ	2
grollemundbantu	ḙ/e	2
grollemundbantu	ṟ/r	2
grollemundbantu	ẽ́/ẽ	2
grollemundbantu	ỳ/j	2
grollemundbantu	́/ə	2
grollemundbantu	B/b	1
grollemundbantu	L/l	1
grollemundbantu	V/v	1
grollemundbantu	a̋/a	1
grollemundbantu	a̝/a	1
grollemundbantu	a̧/a	1
grollemundbantu	a᷆/a	1
grollemundbantu	b̪	1
grollemundbantu	dʒʲ	1
grollemundbantu	e᷄/e	1
grollemundbantu	fʲ	1
grollemundbantu	gʱ	1
grollemundbantu	gʲ	1
grollemundbantu	hʷ	1
grollemundbantu	iˀ	1
grollemundbantu	i̥/i	1
grollemundbantu	i͞/i	1
grollemundbantu	j̀/j	1
grollemundbantu	j̍/j	1
grollemundbantu	kp	1
grollemundbantu	kˊ/k	1
grollemundbantu	k˺/k	1
grollemundbantu	l̍/l	1
grollemundbantu	l̠/l	1
grollemundbantu	l̰/l	1
grollemundbantu	mː	1
grollemundbantu	m̥	1
grollemundbantu	m̭/m	1
grollemundbantu	nʷ	1
grollemundbantu	n̏/n	1
grollemundbantu	o᷅/o	1
grollemundbantu	o᷆/o	1
grollemundbantu	pʲ	1
grollemundbantu	pʼ	1
grollemundbantu	pˊ/p	1
grollemundbantu	qʰ	1
grollemundbantu	r̭/r	1
grollemundbantu	s̆/s	1
grollemundbantu	s̍/s	1
grollemundbantu	s̪	1
grollemundbantu	tsʼ	1
grollemundbantu	tɬʼ	1
grollemundbantu	tʃʼ	1
grollemundbantu	uu̱/uː	1
grollemundbantu	u̧:/uː	1
grollemundbantu	u͞/u	1
grollemundbantu	vː	1
grollemundbantu	v́/v	1
grollemundbantu	v̱/v	1
grollemundbantu	w̎/w	1
grollemundbantu	w̪/w	1
grollemundbantu	zʷ	1
grollemundbantu	z̀/z	1
grollemundbantu	à́/a	1
grollemundbantu	á:́/aː	1
grollemundbantu	á̍/a	1
grollemundbantu	á̠/a	1
grollemundbantu	á̰/ã	1
grollemundbantu	âˀ/aˀ	1
grollemundbantu	æ	1
grollemundbantu	æ̂/æ	1
grollemundbantu	è:́/eː	1
grollemundbantu	èʼ/eˀ	1
grollemundbantu	è̄/e	1
grollemundbantu	è̤/e	1
grollemundbantu	é̀/e	1
grollemundbantu	ê:/eː	1
grollemundbantu	ì̄/i	1
grollemundbantu	ì̍/i	1
grollemundbantu	í̄/i	1
grollemundbantu	î̧/i	1
grollemundbantu	ò:̀/oː	1
grollemundbantu	ò̀/o	1
grollemundbantu	ò́/o	1
grollemundbantu	õ̱/õ	1
grollemundbantu	ø̀/ø	1
grollemundbantu	ù:̀/uː	1
grollemundbantu	ù̀/u	1
grollemundbantu	ù’/uˀ	1
grollemundbantu	ú:́/uː	1
grollemundbantu	ú́/u	1
grollemundbantu	û:/uː	1
grollemundbantu	ü̑/y	1
grollemundbantu	ýỳ/yː	1
grollemundbantu	ā:̀/aː	1
grollemundbantu	āˀ/aˀ	1
grollemundbantu	āˋ/a	1
grollemundbantu	āˋˀ/aˀ	1
grollemundbantu	ē:/eː	1
grollemundbantu	ě̱/e	1
grollemundbantu	ĭ̀/i	1
grollemundbantu	ı̄/ɪ	1
grollemundbantu	ŋˊ/ŋ	1
grollemundbantu	ŋ̊	1
grollemundbantu	ōː/oː	1
grollemundbantu	ō̱/o	1
grollemundbantu	œ́/œ	1
grollemundbantu	œ̂/œ	1
grollemundbantu	ř/r	1
grollemundbantu	ŭ:/uː	1
grollemundbantu	ű/u	1
grollemundbantu	Ʒ/ʒ	1
grollemundbantu	ǀ̃	1
grollemundbantu	ǃ	1
grollemundbantu	ǎ:/aː	1
grollemundbantu	ǖ/y	1
grollemundbantu	ȉ/i	1
grollemundbantu	ȍ/o	1
grollemundbantu	ȕ̏/u	1
grollemundbantu	ɑ̃	1
grollemundbantu	ɔ̀:̀/ɔː	1
grollemundbantu	ɔ̃̀/ɔ̃	1
grollemundbantu	ɔ̥/ɔ	1
grollemundbantu	ɔ̰́/ɔ̃	1
grollemundbantu	ɔ̱́/ɔ	1
grollemundbantu	ɕ	1
grollemundbantu	ɘ̀ˀ/ɘˀ	1
grollemundbantu	ɘ́ˀ/ɘˀ	1
grollemundbantu	ɘ̌/ɘ	1
grollemundbantu	ə:/əː	1
grollemundbantu	ə̀ˀ/əˀ	1
grollemundbantu	ə́:/əː	1
grollemundbantu	ə́ˀ/əˀ	1
grollemundbantu	ə́̍/ə	1
grollemundbantu	ə̂ˀ/əˀ	1
grollemundbantu	ə̍/ə	1
grollemundbantu	ə̭/ə	1
grollemundbantu	ɛɛ̂/ɛː	1
grollemundbantu	ɛɛ̌/ɛː	1
grollemundbantu	ɛ̀̄/ɛ	1
grollemundbantu	ɛ́̍/ɛ	1
grollemundbantu	ɛ̄ˀ/ɛˀ	1
grollemundbantu	ɛ̄̄/ɛ	1
grollemundbantu	ɛ̆/ɛ	1
grollemundbantu	ɛ̏/ɛ	1
grollemundbantu	ɛ᷆/ɛ	1
grollemundbantu	ɡ̀/g	1
grollemundbantu	ɣʷ	1
grollemundbantu	ɨ̀ˀ/ɨˀ	1
grollemundbantu	ɨ̧́/ɨ	1
grollemundbantu	ɩ́:/ɪː	1
grollemundbantu	ɩ̂/ɪ	1
grollemundbantu	ɩ̄/ɪ	1
grollemundbantu	ɩ̠̍/ɪ	1
grollemundbantu	ɩ̧/ɪ	1
grollemundbantu	ɪ̂/ɪ	1
grollemundbantu	ɪ̃	1
grollemundbantu	ɪ᷆/ɪ	1
grollemundbantu	ɲɲ/ɲː	1
grollemundbantu	ɲ̄/ɲ	1
grollemundbantu	ɷ̀:/ʊː	1
grollemundbantu	ɷ̄/ʊ	1
grollemundbantu	ɷ̌/ʊ	1
grollemundbantu	ʉ́̀/ʉ	1
grollemundbantu	ʉ̂:/ʉː	1
grollemundbantu	ʉ̰ˊ/ʉ̃	1
grollemundbantu	ʉ̰̄/ũ	1
grollemundbantu	ʊ́ˊ/ʊ	1
grollemundbantu	ʋ́/ⱱ	1
grollemundbantu	ʌ̃̀	1
grollemundbantu	ʌ̄/ʌ	1
grollemundbantu	ʎ	1
grollemundbantu	ʑ	1
grollemundbantu	ʰkʷ	1
grollemundbantu	ά/ɑ	1
grollemundbantu	θ̀/θ	1
grollemundbantu	ḭ̀/ĩ	1
grollemundbantu	ḭ́:/ĩː	1
grollemundbantu	ṉ/n	1
grollemundbantu	ṵ̀/ũ	1
grollemundbantu	ṵ́̀/ũ	1
grollemundbantu	ṵ̄/ũ	1
grollemundbantu	ṵ̌/ũ	1
grollemundbantu	ṷ/u	1
grollemundbantu	ẑ/z	1
grollemundbantu	ẖ/h	1
grollemundbantu	ẽ	1
grollemundbantu	ⁿbʲ	1
grollemundbantu	ⁿbʷ	1
grollemundbantu	ⁿbʷʰ	1
grollemundbantu	ⁿdʰ	1
grollemundbantu	ⁿgʲ	1
grollemundbantu	ⁿkʰ	1
grollemundbantu	ↄ̂/ɔ	1
grollemundbantu	ↄ̰́:/ɔ̃ː	1
grollemundbantu	/ə	1
halenepal	aː	8614
halenepal	a	4449
halenepal	e	4005
halenepal	i	3572
halenepal	u	3280
halenepal	n	3098
halenepal	j	3073
halenepal	k	2905
halenepal	l	2679
halenepal	r	2637
halenepal	o	2624
halenepal	s	2480
halenepal	m	2273
halenepal	p	2215
halenepal	b	1611
halenepal	h	1486
halenepal	t	1481
halenepal	q	1375
halenepal	ŋ	1357
halenepal	w	1002
halenepal	g	975
halenepal	d	864
halenepal	c	814
halenepal	kʰ	765
halenepal	dʒ	605
halenepal	tʃ	497
halenepal	tʃʰ	475
halenepal	a̤ː	449
halenepal	ʔ	436
halenepal	tʰ	354
halenepal	ʈ	326
halenepal	pʰ	297
halenepal	ãː	282
halenepal	uː	280
halenepal	ˈ/p	277
halenepal	ɖ	239
halenepal	a̤	220
halenepal	oː	203
halenepal	bʱ	192
halenepal	ˈ/l	181
halenepal	ˈ/n	178
halenepal	ˈ/s	167
halenepal	ũ	160
halenepal	iː	159
halenepal	ˈ/k	146
halenepal	ˈ/t	140
halenepal	ã	135
halenepal	ĩ	131
halenepal	ˈ/m	130
halenepal	õ	129
halenepal	eː	124
halenepal	m̊	124
halenepal	dʱ	119
halenepal	ˈ/tʃ	113
halenepal	T/ʈ	106
halenepal	ʈʰ	106
halenepal	gʱ	99
halenepal	ẽ	98
halenepal	ˈ/g	89
halenepal	ˈ/j	86
halenepal	'/kʰ	85
halenepal	dʒʱ	82
halenepal	n̊	77
halenepal	ˈ/b	72
halenepal	ˈ/tʰ	67
halenepal	r̊	65
halenepal	ˈ/d	63
halenepal	ˈ/r	62
halenepal	ˈ/tʃʰ	58
